Feature,Importance
tenure,0.16650639039162785
MonthlyCharges,0.15996352259612068
TotalCharges,0.14912800429481524
Contract,0.11220121365607888
OnlineSecurity,0.05643623751760524
TechSupport,0.05281367700106323
PaymentMethod,0.050333402931386786
OnlineBackup,0.032619823965503246
InternetService,0.02924114692077373
gender,0.02589963361267095
PaperlessBilling,0.024910435385943383
DeviceProtection,0.02354171399371813
Partner,0.02152200920927097
MultipleLines,0.020426042165843473
Dependents,0.018919303612075077
SeniorCitizen,0.017664373564350525
StreamingTV,0.016428481226466552
StreamingMovies,0.016359018928327362
PhoneService,0.005085569026358686
